项目名称,url,公告类型,招标方式,地区,时间
G227线视频监控设备实施前期设计, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220412175944-ec350937-560d-451a-8534-f0c80ea74b28-web-DOC041222-04122022175735.pdf,中标结果公示,其他方式,青海省果洛藏族自治州玛沁县,2022-04-12
青海省公安厅特勤局遴选招标代理机构项目二次, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220411205459-b595e438-cbce-4660-80c4-69f8195619f7-web-竞争性磋商公告.pdf,招标公告,竞争性磋商,青海省西宁市城东区,2022-04-11
西藏自治区人民政府驻格尔木办事处小学变配电室建设项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220411170254-3c1b4d22-0dff-43fc-a4a3-5d9c2a1dfa2d-web-询比公告.pdf,招标公告,其他方式,青海省海西蒙古族藏族自治州格尔木市,2022-04-11
购置疫情防控智能消毒设备项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220411151014-c441b112-cc96-4947-a951-db72633e48f7-web-购置疫情防控智能消毒设备项目.pdf,中标结果公示,竞争性磋商,青海省西宁市湟中县,2022-04-11
青海省公安厅特勤局遴选招标代理机构项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220411124508-54508752-f99f-4933-806e-0d64d087dada-web-废标公告.pdf,废标公示,-,青海省西宁市城东区,2022-04-11
湟中区2021年第二批中央林业改革发展资金林业有害生物防控项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220408172051-2c3b7780-aba5-4f04-9356-cbefa31d0214-web-成交结果公示.pdf,中标结果公示,竞争性谈判,青海省西宁市湟中县,2022-04-08
果洛州班玛县马可河乡道路工程监理, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220408174636-3688e4a8-7644-444d-8d43-de2e2c62246d-web-公告.pdf,招标公告,其他方式,青海省果洛藏族自治州班玛县,2022-04-08
海东公路总段2022年普通国省干线桥涵维修工程监理, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220408160040-afa8b3be-1c8c-458f-84ef-a9b5a4509815-web-海东公路总段监理中标结果公告.pdf,中标结果公示,竞争性磋商,青海省海东市平安县,2022-04-08
青海省工业绿色制造体系建设工作, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220408150246-e23a53fe-8902-4bc4-8de0-4705b4973d88-web-2016公告.pdf,招标公告,其他方式,青海省西宁市城西区,2022-04-08
海东公路总段2023年危旧桥梁改造项目设计, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220408144454-b9cf08da-d813-4ee8-a713-065c882b6559-web-中标结果.pdf,中标结果公示,竞争性磋商,青海省海东市平安县,2022-04-08
